Model,Head,Label,Var,Disease,AUC
CheXFound,XGB,5pct,pca95,Consolidation,0.6806458712659317
CheXFound,XGB,5pct,pca95,Edema,0.8014816099500762
CheXFound,XGB,5pct,pca95,Enlarged_Cardiomediastinum,0.4851282051282051
CheXFound,XGB,5pct,pca95,Fracture,0.5258441406706391
CheXFound,XGB,5pct,pca95,Lung_Lesion,0.6502505274261604
CheXFound,XGB,5pct,pca95,Lung_Opacity,0.6208866466817773
CheXFound,XGB,5pct,pca95,Pleural_Effusion,0.7920956995760144
CheXFound,XGB,5pct,pca95,Pneumonia,0.5460064554777679
CheXFound,XGB,5pct,pca95,Pneumothorax,0.7449541284403669
CheXFound,XGB,5pct,pca95,Pleural_Other,0.4936300570539419
