Model,Head,Label,Var,Filename
MedSigLIP,i2,10pct,raw,MedSigLIP_i2_10pct_raw.npy
MedSigLIP,i2,1pct,raw,MedSigLIP_i2_1pct_raw.npy
MedSigLIP,i2,5pct,raw,MedSigLIP_i2_5pct_raw.npy
MedSigLIP,i2,CheXpert,raw,MedSigLIP_i2_CheXpert_raw.npy
MedSigLIP,i2,NegBio,raw,MedSigLIP_i2_NegBio_raw.npy
MedSigLIP,i4,10pct,raw,MedSigLIP_i4_10pct_raw.npy
MedSigLIP,i4,1pct,raw,MedSigLIP_i4_1pct_raw.npy
MedSigLIP,i4,5pct,raw,MedSigLIP_i4_5pct_raw.npy
MedSigLIP,i4,CheXpert,raw,MedSigLIP_i4_CheXpert_raw.npy
MedSigLIP,i4,NegBio,raw,MedSigLIP_i4_NegBio_raw.npy
MedSigLIP,s2,10pct,raw,MedSigLIP_s2_10pct_raw.npy
MedSigLIP,s2,1pct,raw,MedSigLIP_s2_1pct_raw.npy
MedSigLIP,s2,5pct,raw,MedSigLIP_s2_5pct_raw.npy
MedSigLIP,s2,CheXpert,raw,MedSigLIP_s2_CheXpert_raw.npy
MedSigLIP,s2,NegBio,raw,MedSigLIP_s2_NegBio_raw.npy
MedSigLIP,s4,10pct,raw,MedSigLIP_s4_10pct_raw.npy
MedSigLIP,s4,1pct,raw,MedSigLIP_s4_1pct_raw.npy
MedSigLIP,s4,5pct,raw,MedSigLIP_s4_5pct_raw.npy
MedSigLIP,s4,CheXpert,raw,MedSigLIP_s4_CheXpert_raw.npy
MedSigLIP,s4,NegBio,raw,MedSigLIP_s4_NegBio_raw.npy
