Head,Foundation_Model,Disease,AUROC,AUROC_Low,AUROC_High,AUPRC,Positives
XGBoost,EVA-X,Lung_Lesion,0.6355924753867791,0.5446382674002141,0.7118875191771213,0.07917939845874025,48
XGBoost,EVA-X,Lung_Opacity,0.6867197972264871,0.6489680068395663,0.7217334229778092,0.45863173498677734,291
XGBoost,EVA-X,Pleural_Effusion,0.9032236355071002,0.88309071367871,0.9232849189310286,0.7765311065935884,234
XGBoost,EVA-X,Pneumonia,0.6624732884489866,0.6172761065692295,0.7123699448651546,0.22692306087876246,129
XGBoost,EVA-X,Pneumothorax,0.8059802922188244,0.7236502076603599,0.8885819736078694,0.04573523979795901,15
XGBoost,EVA-X,Pleural_Other,0.6799144190871369,0.6120758076147705,0.7584614636557748,0.04821230031268341,32
XGBoost,EVA-X,Support_Devices,0.7750151771880068,0.7334110268171249,0.8163253210664619,0.39032813571551095,127
XGBoost,EVA-X,No_Finding,0.7785257452574527,0.7457249870415934,0.811624720190885,0.5753015621498858,246
XGBoost,CheXFound,Atelectasis,0.7382722494239631,0.6931528233758611,0.7801842761728494,0.3004212078440724,128
XGBoost,CheXFound,Cardiomegaly,0.8307814969519078,0.80107364754239,0.8579974586801205,0.4532127590093437,172
XGBoost,CheXFound,Consolidation,0.723263770783729,0.6628751233208553,0.7783097686576764,0.12357721311270592,53
XGBoost,CheXFound,Edema,0.8338020142958017,0.7935763611913667,0.8719534662821876,0.2899642500350594,89
XGBoost,CheXFound,Enlarged_Cardiomediastinum,0.6212454212454213,0.4963158102768886,0.7419253105853877,0.07620618815788002,21
XGBoost,CheXFound,Fracture,0.6245939946255404,0.5423410637088311,0.7082458943105773,0.08789275533509885,45
XGBoost,CheXFound,Lung_Lesion,0.7116077707454289,0.6163730301093449,0.7886489575404102,0.18873631033808014,48
XGBoost,CheXFound,Lung_Opacity,0.6455119300041432,0.6041354148497006,0.6832082770969699,0.41899541327676976,291
XGBoost,CheXFound,Pleural_Effusion,0.8976770531888643,0.8764003826964968,0.9187978621192964,0.7590363813882057,234
XGBoost,CheXFound,Pneumonia,0.6815714886045617,0.6272065758508475,0.7297854235977685,0.2489340573441643,129
XGBoost,CheXFound,Pneumothorax,0.8283384301732926,0.7586076875761166,0.8961760576001716,0.14513757331291927,15
XGBoost,CheXFound,Pleural_Other,0.6954421680497925,0.6137838586088866,0.7700065616197607,0.09001477243274433,32
XGBoost,CheXFound,Support_Devices,0.7845292353415547,0.7390595791292491,0.8287497333246917,0.3634354875796599,127
XGBoost,CheXFound,No_Finding,0.7767262872628726,0.7424652727277868,0.8108761772683895,0.5767460246878313,246
XGBoost,CheXagent,Atelectasis,0.7877394153225805,0.7492938847053623,0.825229396040484,0.37041796725433246,128
XGBoost,CheXagent,Cardiomegaly,0.8468404267328968,0.8145708833106338,0.8748619442821641,0.4844169024422513,172
XGBoost,CheXagent,Consolidation,0.8212449228676044,0.7581317329102399,0.8746272599669263,0.20688908387236354,53
XGBoost,CheXagent,Edema,0.8843823941132019,0.8520774578207766,0.9154755534170651,0.4180174315795541,89
XGBoost,CheXagent,Enlarged_Cardiomediastinum,0.5903540903540904,0.47614442902458365,0.7048292231774371,0.02546912555094824,21
XGBoost,CheXagent,Fracture,0.7394555438719477,0.6441031258987003,0.8265168037732036,0.2825865564817377,45
XGBoost,CheXagent,Lung_Lesion,0.7738660337552742,0.6986179300051766,0.8426033160286367,0.22116859580244583,48
XGBoost,CheXagent,Lung_Opacity,0.7631303161024592,0.7330758373689097,0.7952280226878572,0.5431856410717144,291
XGBoost,CheXagent,Pleural_Effusion,0.9286235053951588,0.9088773079252672,0.9462437525886872,0.8269308483784522,234
XGBoost,CheXagent,Pneumonia,0.7675402126194755,0.7238057047366707,0.8076188673737991,0.32967477176726,129
XGBoost,CheXagent,Pneumothorax,0.9248386000679578,0.8773525596192974,0.9662505960083188,0.13827210970224793,15
XGBoost,CheXagent,Pleural_Other,0.8582728215767634,0.8201875905156643,0.8979929963810892,0.1303475399255486,32
XGBoost,CheXagent,Support_Devices,0.8699654775604143,0.8370181204476816,0.9013668389026713,0.5119441093218509,127
XGBoost,CheXagent,No_Finding,0.8237994579945799,0.7962856817988792,0.8505402706706927,0.6468516225273818,246
XGBoost,CXR_Foundation,Atelectasis,0.7951108870967741,0.7579953135100195,0.8300245441977325,0.36956712384526097,128
XGBoost,CXR_Foundation,Cardiomegaly,0.806911831113118,0.7746799711568705,0.8356062381118288,0.44138723129680235,172
XGBoost,CXR_Foundation,Consolidation,0.7906620780727907,0.7234203195699682,0.8424523876342374,0.18358123260796166,53
XGBoost,CXR_Foundation,Edema,0.8616936932472776,0.8232756270852393,0.899907080763897,0.40415268092778805,89
XGBoost,CXR_Foundation,Enlarged_Cardiomediastinum,0.6891330891330891,0.5878958848809601,0.7828528724772328,0.03464837895559789,21
XGBoost,CXR_Foundation,Fracture,0.5744596331347119,0.47787971026302367,0.6619227933301598,0.07042099536391633,45
XGBoost,CXR_Foundation,Lung_Lesion,0.7093332454289734,0.632648715586226,0.7784854453125226,0.22629735736818565,48
XGBoost,CXR_Foundation,Lung_Opacity,0.7410397016889669,0.7060733457010206,0.7727490034821416,0.5376360914491529,291
XGBoost,CXR_Foundation,Pleural_Effusion,0.9099255221302466,0.8870412815235436,0.9298900863586346,0.7874261173106658,234
XGBoost,CXR_Foundation,Pneumonia,0.7203132963171589,0.6740891442285952,0.7667481359971495,0.2745980296903195,129
XGBoost,CXR_Foundation,Pneumothorax,0.8861705742439688,0.8283918602412969,0.9475344025403222,0.09378440653255787,15
XGBoost,CXR_Foundation,Pleural_Other,0.788576244813278,0.7255010710969939,0.8483493579772521,0.0743116781357941,32
XGBoost,CXR_Foundation,Support_Devices,0.8454373295397914,0.8101337286057468,0.8780760610549281,0.4963504903646841,127
XGBoost,CXR_Foundation,No_Finding,0.8007127371273712,0.7713616562159791,0.8305740064005266,0.6109927084957585,246
MLP,MedSigLIP,Atelectasis,0.8017983150921658,0.7620031691726662,0.837420605033223,0.3591697938658477,128
MLP,MedSigLIP,Cardiomegaly,0.8324678256942877,0.8013414851465148,0.8614900323744673,0.4570918126839694,172
MLP,MedSigLIP,Consolidation,0.7972748554392846,0.7404760890218922,0.8478960721343594,0.14850340147613503,53
MLP,MedSigLIP,Edema,0.8603867547043593,0.8214949128000878,0.9008931618718469,0.378852885632833,89
MLP,MedSigLIP,Enlarged_Cardiomediastinum,0.7235164835164836,0.6008448599125451,0.8355975555916517,0.05940410981828988,21
MLP,MedSigLIP,Fracture,0.7097090781633367,0.6306543281162381,0.7962069354308671,0.15385669805129937,45
MLP,MedSigLIP,Lung_Lesion,0.7137174753867791,0.6321429540473917,0.7898254684421526,0.15737642254833464,48
MLP,MedSigLIP,Lung_Opacity,0.750963905339865,0.7192734481291208,0.7837031164874831,0.5401458794864907,291
MLP,MedSigLIP,Pleural_Effusion,0.9173845256522422,0.8963346917382848,0.9381817028924002,0.8111574180599148,234
MLP,MedSigLIP,Pneumonia,0.7500871757731821,0.7064264885764621,0.7959594800197037,0.3120467800690767,129
MLP,MedSigLIP,Pneumothorax,0.9121984369690792,0.853479509056977,0.9557189574678276,0.10495646642444023,15
MLP,MedSigLIP,Pleural_Other,0.8236838692946058,0.7747287598472287,0.8646626001996656,0.13172033851891998,32
MLP,MedSigLIP,Support_Devices,0.8943758324800886,0.8663203604308045,0.9198327885340709,0.5423586410414584,127
MLP,MedSigLIP,No_Finding,0.8117344173441735,0.7818034758930891,0.8402466981144531,0.5750549143357873,246
MLP,BioViL-T,Atelectasis,0.6750702044930876,0.6292905016744186,0.720150654479113,0.22507187696795777,128
MLP,BioViL-T,Cardiomegaly,0.7804315308195982,0.7430973713242222,0.8125973671871956,0.417917288115539,172
MLP,BioViL-T,Consolidation,0.6194001480621861,0.5514405390588287,0.6877823604633706,0.09990291562466562,53
MLP,BioViL-T,Edema,0.7703009055659477,0.7204257050632823,0.81513223990393,0.2068252672632161,89
MLP,BioViL-T,Enlarged_Cardiomediastinum,0.626080586080586,0.48702683193309904,0.7556160817877532,0.03323168650370915,21
MLP,BioViL-T,Fracture,0.6541885734314756,0.5783329735124346,0.7372507070474345,0.09651532525104108,45
MLP,BioViL-T,Lung_Lesion,0.5557533403656821,0.4709663515935289,0.6349089630748942,0.055561822071471714,48
MLP,BioViL-T,Lung_Opacity,0.5496770734322829,0.5066407291146398,0.5853909954220706,0.3281138925720106,291
MLP,BioViL-T,Pleural_Effusion,0.7849227179935843,0.7520069504705319,0.8154610436970315,0.563611256016322,234
MLP,BioViL-T,Pneumonia,0.5312446912189408,0.4797622795731812,0.5836236376431893,0.1433359364801529,129
MLP,BioViL-T,Pneumothorax,0.7404689092762488,0.6162011552837241,0.8401124656593406,0.03097188092349805,15
MLP,BioViL-T,Pleural_Other,0.6060360477178424,0.5089549811292908,0.7076754551886414,0.09013591047519877,32
MLP,BioViL-T,Support_Devices,0.6831546804635611,0.6346464733896617,0.7319331941666718,0.25348828406333557,127
MLP,BioViL-T,No_Finding,0.6847859078590786,0.6452091318990527,0.7212809533144889,0.38610096170919356,246
